2023-11-22-13-30,840 root INFO use_lora: False
2023-11-22-13-30,840 root INFO max_unlearn_steps: 1000
2023-11-22-13-30,840 root INFO bad_weight: 0.5
2023-11-22-13-30,840 root INFO random_weight: 1
2023-11-22-13-30,840 root INFO normal_weight: 1
2023-11-22-13-30,840 root INFO batch_size: 2
2023-11-22-13-30,840 root INFO lr: 2e-06
2023-11-22-13-30,840 root INFO max_bad_loss: 100
2023-11-22-13-30,840 root INFO model_name: meta-llama/Llama-2-7b-hf
2023-11-22-13-30,840 root INFO model_save_dir: models/llama-7b_unlearned_ipy
2023-11-22-13-30,840 root INFO save_every: 500
2023-11-22-13-30,840 root INFO log_file: logs/llama-7b-unlearn_ipy.log
2023-11-22-13-30,842 accelerate.utils.other WARNING Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
2023-11-22-13-35,176 root INFO batch: 57, bad_loss: 0.88, current_div_loss: 2.52, 
2023-11-22-13-35,585 root INFO batch: 58, bad_loss: 1.32, current_div_loss: 1.90, 
2023-11-22-13-35,478 root INFO batch: 59, bad_loss: 1.54, current_div_loss: 0.97, 
2023-11-22-13-35,191 root INFO batch: 60, bad_loss: 1.49, current_div_loss: 2.05, 
2023-11-22-13-35,617 root INFO batch: 61, bad_loss: 1.25, current_div_loss: 2.06, 
2023-11-22-13-35,449 root INFO batch: 62, bad_loss: 1.32, current_div_loss: 1.74, 
2023-11-22-13-35,293 root INFO batch: 63, bad_loss: 1.52, current_div_loss: 2.34, 
2023-11-22-13-35,261 root INFO batch: 64, bad_loss: 1.32, current_div_loss: 2.24, 
2023-11-22-13-35,630 root INFO batch: 65, bad_loss: 1.15, current_div_loss: 1.87, 
2023-11-22-13-35,984 root INFO batch: 66, bad_loss: 0.91, current_div_loss: 1.66, 
2023-11-22-13-35,769 root INFO batch: 67, bad_loss: 1.79, current_div_loss: 1.73, 
2023-11-22-13-35,971 root INFO batch: 68, bad_loss: 0.89, current_div_loss: 2.52, 
2023-11-22-13-35,298 root INFO batch: 69, bad_loss: 1.11, current_div_loss: 2.46, 
2023-11-22-13-35,855 root INFO batch: 70, bad_loss: 1.57, current_div_loss: 1.49, 
2023-11-22-13-36,239 root INFO batch: 71, bad_loss: 0.90, current_div_loss: 2.34, 
2023-11-22-13-36,131 root INFO batch: 72, bad_loss: 1.37, current_div_loss: 1.93, 
2023-11-22-13-36,642 root INFO batch: 73, bad_loss: 1.01, current_div_loss: 2.22, 
2023-11-22-13-36,511 root INFO batch: 74, bad_loss: 1.48, current_div_loss: 1.56, 
2023-11-22-13-36,856 root INFO batch: 75, bad_loss: 1.48, current_div_loss: 1.81, 
2023-11-22-13-36,352 root INFO batch: 76, bad_loss: 1.00, current_div_loss: 1.74, 
2023-11-22-13-36,549 root INFO batch: 77, bad_loss: 1.11, current_div_loss: 1.88, 
2023-11-22-13-36,867 root INFO batch: 78, bad_loss: 1.06, current_div_loss: 1.91, 
2023-11-22-13-36,719 root INFO batch: 79, bad_loss: 0.80, current_div_loss: 2.10, 
2023-11-22-13-36,489 root INFO batch: 80, bad_loss: 1.46, current_div_loss: 2.02, 
2023-11-22-13-36,46 root INFO batch: 81, bad_loss: 0.94, current_div_loss: 2.22, 
2023-11-22-13-36,399 root INFO batch: 82, bad_loss: 0.93, current_div_loss: 2.24, 
2023-11-22-13-36,939 root INFO batch: 83, bad_loss: 1.35, current_div_loss: 2.32, 
2023-11-22-13-36,599 root INFO batch: 84, bad_loss: 1.10, current_div_loss: 2.15, 
2023-11-22-13-36,305 root INFO batch: 85, bad_loss: 1.18, current_div_loss: 1.92, 
2023-11-22-13-36,733 root INFO batch: 86, bad_loss: 1.08, current_div_loss: 2.44, 
2023-11-22-13-37,109 root INFO batch: 87, bad_loss: 1.39, current_div_loss: 1.87, 
2023-11-22-13-37,868 root INFO batch: 88, bad_loss: 0.88, current_div_loss: 2.34, 
2023-11-22-13-37,155 root INFO batch: 89, bad_loss: 1.62, current_div_loss: 2.51, 
2023-11-22-13-37,895 root INFO batch: 90, bad_loss: 1.45, current_div_loss: 2.30, 
2023-11-22-13-37,534 root INFO batch: 91, bad_loss: 1.32, current_div_loss: 2.00, 
2023-11-22-13-37,402 root INFO batch: 92, bad_loss: 1.16, current_div_loss: 2.04, 
2023-11-22-13-37,261 root INFO batch: 93, bad_loss: 1.09, current_div_loss: 1.95, 
2023-11-22-13-37,511 root INFO batch: 94, bad_loss: 1.44, current_div_loss: 1.82, 
2023-11-22-13-37,741 root INFO batch: 95, bad_loss: 1.39, current_div_loss: 1.95, 
2023-11-22-13-37,281 root INFO batch: 96, bad_loss: 1.33, current_div_loss: 2.45, 
2023-11-22-13-37,175 root INFO batch: 97, bad_loss: 1.11, current_div_loss: 1.59, 
2023-11-22-13-37,835 root INFO batch: 98, bad_loss: 1.47, current_div_loss: 2.16, 
2023-11-22-13-37,507 root INFO batch: 99, bad_loss: 1.36, current_div_loss: 1.79, 
2023-11-22-13-37,681 root INFO batch: 100, bad_loss: 1.49, current_div_loss: 2.01, 
2023-11-22-13-37,457 root INFO batch: 101, bad_loss: 1.55, current_div_loss: 1.74, 
2023-11-22-13-38,477 root INFO batch: 102, bad_loss: 1.21, current_div_loss: 1.92, 
2023-11-22-13-38,133 root INFO batch: 103, bad_loss: 1.67, current_div_loss: 2.04, 
2023-11-22-13-38,590 root INFO batch: 104, bad_loss: 1.81, current_div_loss: 1.94, 
2023-11-22-13-38,708 root INFO batch: 105, bad_loss: 1.59, current_div_loss: 1.59, 
